Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Target_Age_Group,Budget (USD),Impressions,Clicks,Conversions,Revenue (USD),Region,Campaign_Duration,CTR,Conversion_Rate,ROI,Campaign_Status,Revenue_per_Dollar,Efficiency_Bucket
MKT0001,Campaign_328,2024-02-27,2024-03-08,Influencer,36-45,8314,156316,23436,4833,18992.16,South,10,0.15,0.21,1.28,Profitable,2.28,High Return
MKT0002,Campaign_45,2024-10-29,2024-11-21,Email,18-25,8164,253962,26924,476,7328.62,North,23,0.11,0.02,-0.1,Loss Making,0.9,Loss
MKT0003,Campaign_333,2024-12-25,2025-01-21,TV,26-35,10115,858749,150424,34605,8287.41,West,27,0.18,0.23,-0.18,Loss Making,0.82,Loss
MKT0004,Campaign_217,2024-06-23,2024-07-11,Social Media,26-35,4349,107251,8814,1005,5166.23,East,18,0.08,0.11,0.19,Profitable,1.19,Break-even
MKT0005,Campaign_136,2024-01-23,2024-02-16,Radio,18-25,3582,588856,38690,7440,8134.38,West,24,0.07,0.19,1.27,Profitable,2.27,High Return
MKT0006,Campaign_186,2024-10-22,2024-11-07,Influencer,18-25,8467,820620,53326,1767,8175.58,North,16,0.06,0.03,-0.03,Loss Making,0.97,Loss
MKT0007,Campaign_52,2024-07-13,2024-07-31,TV,36-45,13130,382528,19052,1665,31161.55,South,18,0.05,0.09,1.37,Profitable,2.37,High Return
MKT0008,Campaign_332,2024-02-06,2024-03-06,Influencer,26-35,9021,181339,17740,1566,21206.41,Central,29,0.1,0.09,1.35,Profitable,2.35,High Return
MKT0009,Campaign_353,2024-10-12,2024-10-29,Influencer,36-45,8505,871722,14033,1424,8806.77,North,17,0.02,0.1,0.04,Profitable,1.04,Break-even
MKT0010,Campaign_109,2024-10-17,2024-11-06,Social Media,46-60,16035,159811,9640,785,26020.58,West,20,0.06,0.08,0.62,Profitable,1.62,Break-even
MKT0011,Campaign_135,2024-10-26,2024-11-18,Radio,46-60,8186,155051,16560,602,4864.39,East,23,0.11,0.04,-0.41,Loss Making,0.59,Loss
MKT0012,Campaign_57,2024-03-19,2024-04-18,Social Media,46-60,3081,413457,34113,10195,4800.9,Central,30,0.08,0.3,0.56,Profitable,1.56,Break-even
MKT0013,Campaign_498,2024-10-10,2024-10-20,Influencer,18-25,9743,815934,107526,4553,13343.34,Central,10,0.13,0.04,0.37,Profitable,1.37,Break-even
MKT0014,Campaign_233,2024-01-02,2024-01-20,Radio,26-35,4486,922804,118863,30201,6797.75,Central,18,0.13,0.25,0.52,Profitable,1.52,Break-even
MKT0015,Campaign_102,2024-03-19,2024-04-09,Social Media,18-25,11621,522340,7156,1999,26233.75,Central,21,0.01,0.28,1.26,Profitable,2.26,High Return
MKT0016,Campaign_426,2024-06-06,2024-06-23,Email,26-35,3580,99814,14878,3669,8792.37,Central,17,0.15,0.25,1.46,Profitable,2.46,High Return
MKT0017,Campaign_273,2024-03-05,2024-03-19,Influencer,46-60,6410,287932,31746,5901,15568.13,Central,14,0.11,0.19,1.43,Profitable,2.43,High Return
MKT0018,Campaign_476,2024-10-03,2024-10-19,Influencer,36-45,13236,469381,84923,11968,13180.56,West,16,0.18,0.14,-0.0,Profitable,1.0,Loss
MKT0019,Campaign_33,2024-06-22,2024-07-02,Radio,26-35,8216,17540,411,79,7869.97,Central,10,0.02,0.19,-0.04,Loss Making,0.96,Loss
MKT0020,Campaign_464,2024-01-17,2024-02-06,Email,26-35,16906,234643,26386,5798,38288.14,East,20,0.11,0.22,1.26,Profitable,2.26,High Return
MKT0021,Campaign_296,2024-08-30,2024-09-16,TV,46-60,4090,111639,15094,1701,5407.82,South,17,0.14,0.11,0.32,Profitable,1.32,Break-even
MKT0022,Campaign_443,2024-01-28,2024-02-27,Influencer,18-25,14193,773587,57607,14971,14154.86,North,30,0.07,0.26,-0.0,Profitable,1.0,Loss
MKT0023,Campaign_98,2024-10-01,2024-10-25,Social Media,46-60,10127,495100,28450,7901,14038.67,South,24,0.06,0.28,0.39,Profitable,1.39,Break-even
MKT0024,Campaign_442,2024-10-08,2024-10-21,Email,18-25,8745,184389,16082,2405,19495.24,North,13,0.09,0.15,1.23,Profitable,2.23,High Return
MKT0025,Campaign_463,2024-01-31,2024-02-15,TV,18-25,9690,981524,156036,22149,13042.89,West,15,0.16,0.14,0.35,Profitable,1.35,Break-even
MKT0026,Campaign_491,2024-10-11,2024-11-05,Social Media,26-35,8133,71324,8562,1431,16233.07,East,25,0.12,0.17,1.0,Profitable,2.0,Break-even
MKT0027,Campaign_30,2024-01-26,2024-02-23,TV,26-35,17640,94002,16145,482,11217.66,North,28,0.17,0.03,-0.36,Loss Making,0.64,Loss
MKT0028,Campaign_442,2024-04-30,2024-05-22,Email,26-35,2302,659468,16867,3384,3753.3,Central,22,0.03,0.2,0.63,Profitable,1.63,Break-even
MKT0029,Campaign_162,2024-05-13,2024-05-29,Influencer,36-45,9703,425011,14818,2922,13724.4,South,16,0.03,0.2,0.41,Profitable,1.41,Break-even
MKT0030,Campaign_476,2024-02-07,2024-02-17,TV,18-25,18617,233508,24779,1199,22303.49,North,10,0.11,0.05,0.2,Profitable,1.2,Break-even
MKT0031,Campaign_36,2024-05-05,2024-05-26,Google Ads,26-35,18800,747715,50454,14899,39746.96,West,21,0.07,0.3,1.11,Profitable,2.11,High Return
MKT0032,Campaign_271,2024-01-05,2024-02-01,Google Ads,18-25,9666,131035,23461,5285,7838.12,South,27,0.18,0.23,-0.19,Loss Making,0.81,Loss
MKT0033,Campaign_145,2024-11-05,2024-11-21,Influencer,36-45,9650,539959,55519,15131,21154.8,South,16,0.1,0.27,1.19,Profitable,2.19,High Return
MKT0034,Campaign_48,2024-11-20,2024-12-13,Google Ads,18-25,11929,818577,28532,8392,9819.52,North,23,0.03,0.29,-0.18,Loss Making,0.82,Loss
MKT0035,Campaign_227,2024-10-09,2024-11-01,Radio,18-25,3465,936004,132251,7039,1982.17,North,23,0.14,0.05,-0.43,Loss Making,0.57,Loss
MKT0036,Campaign_190,2024-10-25,2024-11-21,Social Media,46-60,2370,333232,26419,7413,5793.21,South,27,0.08,0.28,1.44,Profitable,2.44,High Return
MKT0037,Campaign_21,2024-07-02,2024-07-18,Influencer,26-35,12589,828011,96362,25407,30813.77,North,16,0.12,0.26,1.45,Profitable,2.45,High Return
MKT0038,Campaign_384,2024-03-20,2024-04-06,Social Media,26-35,1812,198073,29700,3158,4279.28,West,17,0.15,0.11,1.36,Profitable,2.36,High Return
MKT0039,Campaign_411,2024-12-08,2024-12-25,Google Ads,26-35,13535,924533,16047,2350,12169.94,North,17,0.02,0.15,-0.1,Loss Making,0.9,Loss
MKT0040,Campaign_471,2024-08-23,2024-09-13,Google Ads,26-35,1775,702094,32784,3448,3955.95,South,21,0.05,0.11,1.23,Profitable,2.23,High Return
MKT0041,Campaign_496,2024-05-22,2024-06-12,Influencer,46-60,11851,994861,15165,4008,12116.82,Central,21,0.02,0.26,0.02,Profitable,1.02,Break-even
MKT0042,Campaign_298,2024-05-15,2024-05-26,Email,46-60,11278,467592,58533,9266,14327.47,East,11,0.13,0.16,0.27,Profitable,1.27,Break-even
MKT0043,Campaign_296,2024-04-07,2024-04-25,Email,46-60,18036,980535,160059,33482,42935.17,North,18,0.16,0.21,1.38,Profitable,2.38,High Return
MKT0044,Campaign_378,2024-12-09,2024-12-25,Google Ads,46-60,11819,663425,46203,11824,22923.05,North,16,0.07,0.26,0.94,Profitable,1.94,Break-even
MKT0045,Campaign_154,2024-09-16,2024-10-05,Influencer,46-60,14185,741076,49040,2300,19020.56,East,19,0.07,0.05,0.34,Profitable,1.34,Break-even
MKT0046,Campaign_482,2024-07-13,2024-07-28,Radio,36-45,18954,884224,8910,830,25773.2,West,15,0.01,0.09,0.36,Profitable,1.36,Break-even
MKT0047,Campaign_297,2024-11-06,2024-12-06,Google Ads,46-60,15488,718446,36355,5352,35658.98,West,30,0.05,0.15,1.3,Profitable,2.3,High Return
MKT0048,Campaign_408,2024-03-27,2024-04-08,Google Ads,36-45,8696,715477,49353,12037,6910.78,North,12,0.07,0.24,-0.21,Loss Making,0.79,Loss
MKT0049,Campaign_24,2024-05-05,2024-05-30,Radio,18-25,14580,939181,121769,8083,27595.69,West,25,0.13,0.07,0.89,Profitable,1.89,Break-even
MKT0050,Campaign_254,2024-07-23,2024-08-09,Social Media,18-25,14931,239471,10397,2992,22932.75,North,17,0.04,0.29,0.54,Profitable,1.54,Break-even
